character,race,sex,game era,,excludes temporary transformations,,,,,,,,,,,
berry sagefairy,squirrel,male,"jot era,light's adventure era",,,,,,,,,,,,,
brier wolfsbane,wolfcat(kitsune/shadowcat),female,"jot era,light's adventure era,shadow flame era",,,,,,,,,,,,,
cay nigh,kitsune,female,"jot era,light's adventure era",,#male,47,,,,,,,,,,
cedric burnfeather,phoenix,male,"jot era,light's adventure era, shadow flame era",,% male,45.631%,,,,,,,,,,
dark lightsbane,human-pre hyperion. Demon otherwise,male,"dark lightsbane-jot era,light's adventure era,shadow flame era, pre hyperion war era(went by a different name)",,# female,53,,,,,,,,,,
ember burnfeather,phoenix,female,"jot era,shadow flame era",,% female,51.456%,,,,,,,,,,
flare lightbringer,human,male,"jot era,light's adventure era,shadow flame era",,# unknown,1,,,,,,,,,,
forge doublefire,fire elemental,male,"jot era,light's adventure era",,%unknown,0.971%,,,,,,,,,,
garnet wolfsbane,shadowcat,male,jot era,,# none,2,,,,,,,,,,
jem wolfsbane/lightbringer,wolfcat(kitsune/shadowcat),female,"jot era,light's adventure era, shadow flame era, dark foundation era",,%none,1.942%,,,,,,,,,,
crystal lightbringer,human/wolfcat hybrid,female,"jot era(end of),light's adventure era, shadow flame era(under the alias ""blight""),dark foundation era",,# total,103,,,,,,,,,,
pearlite wolfsbane,kitsune,female,"jot era,shadow flame era",,,,,,,,,,,,,
pyre deathripper,vampire,female,"jot era,light's adventure, shadow flame era",,,,,,,,,,,,,
rain lightbringer,human,female,"jot era,shadow flame era,early light's adventure era",,eras,RS after the name means reverse sex timelines,,,,,,,,,,
rose sagefairy,squirrel,female,"jot era,light's adventure era",,"2000-2020 pre hyperion war- (prelude to hyperion, hyperion war)",,,,,,,,,,,
sire the resigned,zombie human,unknown,"jot era, light's adventure era, shadow flame era",,"6400-6502 jem of twilight era - (jem of twilight, crystal's cookie sidestory minigame, ROA jem wolfsbane mod,jem's magic lesson)",,,,,,,,,,,
thunder lightbringer,human,male,"jot era,light's adventure era, shadow flame era",,"6502-6518 light's adventure era - (Light's adventure, temporal light(old Gamemaker builds))",,,,,,,,,,,
sune foxend,kitsune,male,"pre hyperion war,jot era(ghost),light's adventure(ghost),shadow flame(ghost)",,"6502-6518 shadow flame era(alt timeline of light's adventure) - (shadow flame, custom level pack in yatc)",,,,,,,,,,,
sune foxend jr,kitsune,male,pre hyperion war,,"2000-2020 Dark foundation era(alt timeline of pre hyperion war) - (dark foundation,temporal light(old Gamemaker builds)",,,,,,,,,,,
blair foxend,kitsune,female,"pre hyperion war,jot era(ghost),light's adventure(ghost),shadow flame(ghost)",,,,,,,,,,,,,
bright signet,human,male,"jot era,light's adventure,shadow flame era",,,,,,,,,,,,,
bias fireglobe,human/vampire hybrid,male,"pre hyperion war,dark foundation era",,,,,,,,,,,,,
peryil burnfeather,phoenix,female,"light's adventure,shadow flame",,extra characters definition,,,,,,,,,,,
